episode,seed,outcome,success,collision,timeout,steps,episode_return,final_dist_xy,final_dist_z,control_action_scale_multiplier,control_action_noise_std,control_action_delay,control_action_filter_alpha,scale_bucket,noise_bucket,delay_bucket,filter_bucket,joint_bucket,max_commanded_action_norm,max_applied_action_norm,mean_commanded_action_norm,mean_applied_action_norm
0,150000,success,True,False,False,25,169.01906191211128,0.004891639551114495,0.007806174974504088,0.9183311887086428,0.00045173234817257567,0,0.8212815395088511,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.694742755212067,1.558857327865479,1.3609730284859192,1.2367771625624622
1,150001,success,True,False,False,12,139.9928361872978,0.004999370939015077,0.008051605614882051,1.1433795802062507,0.00048203149198541113,1,0.9667169175333548,high_>1.10,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.6174718526830738,1.700325040782809,1.3354112643903886,1.3428038879035062
2,150002,success,True,False,False,18,158.6751088336632,0.0036428966221477093,0.007911302575210999,1.1663503316218846,0.00012725695194925032,1,0.9047408101330315,high_>1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|high_>1.10|low_<0.00025,1.6461914059837823,1.7320507688545248,1.4981015742156574,1.4836321844206868
3,150003,collision,False,True,False,150,-17.517073808835903,0.03854440929772549,0.08326629796709395,0.8013425771717306,0.0007350467063868421,2,0.742742427527394,low_<0.90,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.731743467590019,1.5779770803483208,1.4935100925240334,1.1839608275067155
4,150004,success,True,False,False,13,147.90874603262125,0.004856770984012142,0.007311673949375597,1.0996917312529608,0.00022555269026214812,0,0.9683809651816446,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.4826081177418748,1.554230538956059,1.1943616623212159,1.2413148022344869
5,150005,success,True,False,False,12,147.5820173127335,0.0038362286610857765,0.008082830722960566,1.0544018155388453,9.863618586855783e-05,0,0.8668203944845603,mid_0.90_1.10,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.5621884871980036,1.608408763056221,1.3074039672023015,1.3175031323704405
6,150006,success,True,False,False,47,207.5074539751483,0.004934654393422727,0.007762295708664935,0.9527174240323202,0.00043435781039741586,0,0.9863240478814571,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.601387728122461,1.5751518933002455,1.1370552798290077,1.083450144959384
7,150007,collision,False,True,False,131,-53.12829885735826,0.03875804413855547,0.08091175891633684,0.8095339924723011,0.00038503974352548234,1,0.6277818645908766,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.7320378641358916,1.4934410115930046,1.4633438615816923,1.1559600414246072
8,150008,success,True,False,False,22,151.22254712820234,0.0017471740921872058,0.007925993229741413,1.0009925182396218,0.000546370890358063,2,0.887064071353816,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7053314394395824,1.678332963518523,1.4732903519099372,1.3626979836876458
9,150009,success,True,False,False,30,159.97273105479962,0.004720149614725278,0.007980773143888786,0.9568439110698423,9.290794370935096e-05,2,0.9216575117418153,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.728912285589064,1.6732734511364378,1.511864021491021,1.3539880790537213
10,150010,success,True,False,False,21,162.99919673022666,0.0039051715988376793,0.008012898944402269,1.145322450034928,0.0003255408456522452,0,0.5800255110088817,high_>1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.6890500953386913,1.6753592820794792,1.3933089824647826,1.3488524589628437
11,150011,success,True,False,False,11,142.8546479883755,0.003257190633316261,0.004654780636403899,1.0730568596959973,0.0007726248864345416,0,0.8928544983317959,mid_0.90_1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.6545975959046277,1.7320507688545248,1.478557743157119,1.4949655550396523
12,150012,success,True,False,False,26,157.3269652832077,0.004782401023807808,0.00821896057931315,1.0080366020144256,0.0005628968609263608,2,0.6821763211240962,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7249606099056438,1.7320507688545248,1.5478438617481152,1.33822061645053
13,150013,success,True,False,False,8,136.25130297258767,0.004646639416464584,0.004503513526760927,1.1439039287866812,0.00038476945035450236,0,0.8711045923115972,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.528504503596833,1.6710069790238526,1.298076410650229,1.364850233669439
14,150014,success,True,False,False,17,146.10150561955814,0.0014789075215993432,0.008281040710954368,1.166278283607392,7.754136911829868e-05,2,0.6852418648766729,high_>1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|low_<0.00025,1.721790663094,1.7320507688545248,1.5510917361207976,1.339968419378796
15,150015,success,True,False,False,46,190.52289355079466,0.004884314169156646,0.007790654697070631,0.806300438125801,0.0001399962908596125,2,0.7256667835969498,low_<0.90,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|low_<0.90|low_<0.00025,1.6896694784764796,1.389112227784767,1.2868927135313708,0.9842794935912087
16,150016,success,True,False,False,26,159.06474083558376,0.004361027559238706,0.008195786828280927,1.1616830663781172,0.0006498468835977999,2,0.6120498664003253,high_>1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|high_>1.10|high_>=0.00055,1.6627842694109853,1.7320507688545248,1.470157860210032,1.4103034514447925
17,150017,success,True,False,False,15,139.43174527821728,0.002863542218442747,0.00798238922297656,0.8226479918818997,0.0007102598748268839,2,0.5704936712535482,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7026943708787878,1.445025355134357,1.46289634500936,1.0138407822031736
18,150018,success,True,False,False,45,178.0723900672155,0.004672698852141193,0.007985455777511197,0.9488274201501147,0.000489917181175748,2,0.87915780064111,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7187011052673178,1.716892493206768,1.3846577811439658,1.2416091563308984
19,150019,success,True,False,False,21,155.5388805687163,0.0026656090530875103,0.007963110853643873,1.1993678284755662,2.7238764487720425e-05,2,0.7735486913088288,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.7193287315705745,1.7320507688545248,1.5827679134476424,1.4474624668554743
20,150020,success,True,False,False,19,152.47014110456536,0.002505466804020618,0.008076437491366106,1.1732114748396278,0.0003940949188042747,1,0.7516178230484694,high_>1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.7283547077256756,1.7320507688545248,1.5572403354158773,1.5172910226154712
21,150021,success,True,False,False,16,139.92286021574253,0.0033327838722383993,0.008205305424300535,1.0981433100635252,0.00024518714001453085,1,0.7433944394053354,mid_0.90_1.10,low_<0.00025,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.6164951708065438,1.6568816638679078,1.4393835375711377,1.3592666006449792
22,150022,collision,False,True,False,8,-302.78195661885275,0.038866592669015786,0.004304453526276508,0.9806091341566939,0.0003341358479602916,2,0.6166763812662226,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.7218033507661872,1.582275157594555,1.6080493841443784,1.06310502451106
23,150023,success,True,False,False,36,187.06921773792737,0.004734927741890753,0.007989413267536105,0.9866756026729476,0.00014790765274861465,0,0.7359150213668553,mid_0.90_1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.642278935772511,1.5177381841846915,1.2296693202762528,1.1682707487741653
24,150024,success,True,False,False,126,194.90813513219751,0.004933657916075962,0.007896295050680902,1.1888378252073613,0.00012524525551676797,0,0.7980653291019542,high_>1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|low_<0.00025,1.596877668274224,1.6512002486744535,0.6791215987875637,0.794735375952406
25,150025,success,True,False,False,27,161.8487656042077,0.004845434160645924,0.007902718562746713,0.8429248593063863,0.0004584095623500376,1,0.9015013232739999,low_<0.90,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.6283156860565975,1.4859284499486478,1.423277957692281,1.1495636907715279
26,150026,collision,False,True,False,155,19.645181516479852,0.03825542187114031,0.07580348768811185,0.8659468219785875,0.0006246421592537311,2,0.6010013879108342,low_<0.90,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|high_>=0.00055,1.7313094502903608,1.663108662702117,1.4859172356206125,1.2531918556577633
27,150027,success,True,False,False,19,150.84895712615472,0.004615241478021264,0.007986437772551924,0.9463681758547189,0.00020351564830442792,1,0.8773218305617929,mid_0.90_1.10,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.685314602823323,1.5406350315292783,1.3157861784750395,1.188861497320195
28,150028,success,True,False,False,18,156.14703672028244,0.0025824390073809394,0.007983776188623004,0.9376831950266618,0.0006794350686877281,0,0.5781332360564498,mid_0.90_1.10,high_>=0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.710991513887454,1.704672075426895,1.5509292579550267,1.3308568975647246
29,150029,success,True,False,False,19,153.7504770757121,0.003866361902572051,0.008101963484905217,1.155484679962445,0.00025047791792351886,1,0.8427925767703117,high_>1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.6952242267473967,1.7320507688545248,1.486283714644862,1.4778503326163814
30,150030,success,True,False,False,26,157.61925825571873,0.004900397115881462,0.007827196483998988,0.803385036631405,0.00012586425093908977,0,0.9994425370233921,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,1.5152018405512429,1.1992205158494813,1.1567386161640423,0.9283883756510906
31,150031,collision,False,True,False,6,-292.0238018602963,0.04506491243682087,0.04808554694263978,0.9674215737000543,0.00042070322234009536,2,0.9732429762446437,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.455777578326018,1.3279460108647805,1.265467670973351,0.7891092708262809
32,150032,success,True,False,False,31,173.22115510606787,0.004909083671998369,0.00777726449231797,0.9478911579506215,0.00043261924144478016,0,0.5739756458764045,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.4820781880208356,1.3558858820645137,1.150823064160362,0.9955485969964026
33,150033,success,True,False,False,25,152.96777802590012,0.003863994923011392,0.007983033581900112,1.1154215089614943,4.728155159942107e-05,2,0.744954824924475,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.7213729400685,1.7320507688545248,1.543891977121757,1.437800221631672
34,150034,success,True,False,False,42,195.73593424919943,0.004916086753764988,0.007815201276263006,0.855487245538864,0.00025553275135125546,0,0.942307644081914,low_<0.90,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.4838105013556009,1.2662057842570438,1.182416648512306,1.0040233740289346
35,150035,success,True,False,False,29,165.5618558646748,0.004963317220582454,0.007860580232057601,0.8886235320642463,0.00030126907338384615,1,0.8521786659981787,low_<0.90,mid_0.00025_0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|mid_0.00025_0.00055,1.7233681518460917,1.5806853645939316,1.3982341594197605,1.1904977391585774
36,150036,success,True,False,False,12,139.39985637112343,0.004986484683018687,0.008087103977476473,1.18439891039821,0.000539997588169184,0,0.8492970125819242,high_>1.10,mid_0.00025_0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|high_>1.10|mid_0.00025_0.00055,1.6225843557803272,1.7320507688545248,1.300019646295442,1.3443317121933331
37,150037,success,True,False,False,20,153.26875705483832,0.0037179318762785487,0.007960629047373602,1.083712882486966,0.0004807427020353478,1,0.7751123523615625,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7107814723347743,1.7320507688545248,1.529174156742158,1.46386749658449
38,150038,success,True,False,False,21,155.30089175260912,0.004960989798485946,0.007844701591566139,1.1689174801271343,0.0002013018880017058,2,0.9033431918871252,high_>1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|high_>1.10|low_<0.00025,1.484901551743223,1.577680327552486,1.2207381112917823,1.2207479957445335
39,150039,success,True,False,False,26,160.439008364499,0.0047590965832444414,0.0079960065155954,1.0329751057807994,0.00024915830021509836,2,0.6073627282053276,mid_0.90_1.10,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|low_<0.00025,1.7272603779148612,1.714097085383318,1.548900055478799,1.3614142990528324
40,150040,success,True,False,False,28,182.48993704105965,0.004923323860892239,0.007769006114149324,1.1353736667427952,0.000474532164133056,0,0.9198240057690921,high_>1.10,mid_0.00025_0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|mid_0.00025_0.00055,1.5594834697549504,1.6601133183395742,1.1999216766405747,1.279573105361062
41,150041,collision,False,True,False,6,-293.7359226749621,0.06155529426312931,0.04826750728349516,0.8438340990929247,2.096551825184001e-05,1,0.9168915830019249,low_<0.90,low_<0.00025,delay_1,high_>=0.85,delay_1|high_>=0.85|low_<0.90|low_<0.00025,1.5919678848807624,1.2652257359764363,1.3545193415126986,0.8976816142893392
42,150042,success,True,False,False,28,161.43228780691285,0.004025258441359603,0.00803557465785587,0.9124996304692794,0.0006321021435524323,2,0.6311103746708346,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7211954202343724,1.6070369102237445,1.525176312377374,1.230961808069224
43,150043,success,True,False,False,51,208.33647561248623,0.0049224343821783765,0.007786917120099379,0.890600004531742,0.0002797752420232379,1,0.6256932567405342,low_<0.90,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|low_<0.90|mid_0.00025_0.00055,1.6378906071440291,1.4046665727308287,1.2432286316181307,1.0668073982635842
44,150044,success,True,False,False,26,149.4548453472896,0.004117228836265217,0.00807387068150578,1.1407126806808559,0.0006782818819989217,2,0.7873473014719561,high_>1.10,high_>=0.00055,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|high_>=0.00055,1.7029538173927359,1.7320507688545248,1.3993763845384526,1.359172645308978
45,150045,success,True,False,False,24,160.01896558966223,0.0045540957105750296,0.007959389401193673,1.072036463067012,9.649818356463539e-05,2,0.9617636617611645,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.5968985863563847,1.6788169981015864,1.4176759310494393,1.3571174758023945
46,150046,success,True,False,False,19,148.01763737039434,0.004791334143499372,0.008199550393817256,1.003181122490282,0.0005533636432644624,2,0.8667435176019099,mid_0.90_1.10,high_>=0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.7110578951774655,1.7320507688545248,1.48121086467916,1.306504122707174
47,150047,success,True,False,False,30,180.3418421148618,0.004895373647919754,0.007812606061978866,1.0270583112480358,0.00044499679502977787,0,0.6409388942502631,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6152802516077205,1.6737169805676626,1.2286536696411967,1.2064297471323953
48,150048,success,True,False,False,30,166.52893252490912,0.0049644256645374075,0.008048081993506817,0.822920593836527,0.00018671179588914395,2,0.6383066052993672,low_<0.90,low_<0.00025,delay_2,low_<0.70,delay_2|low_<0.70|low_<0.90|low_<0.00025,1.7187307658319777,1.3983826287596028,1.5228342102909782,1.1405882867667252
49,150049,success,True,False,False,33,179.19488547557955,0.004872418141454002,0.007710386324351393,0.951189599524483,0.0005162136977118994,0,0.6014606636526056,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6216613949515268,1.4610181533834221,1.198448478793986,1.0449246965911314
50,150050,success,True,False,False,19,150.85563495771584,0.004357243623702746,0.007949250712363187,0.9632623756374853,0.0007104815268609304,1,0.9544487565024558,mid_0.90_1.10,high_>=0.00055,delay_1,high_>=0.85,delay_1|high_>=0.85|mid_0.90_1.10|high_>=0.00055,1.6375074465488817,1.6212349241126405,1.384295048610897,1.26988846514992
51,150051,collision,False,True,False,143,-196.93325812384708,0.04092787631868848,0.07233581226304331,0.9200381019145059,0.0006245768225823213,2,0.6434026703142544,mid_0.90_1.10,high_>=0.00055,delay_2,low_<0.70,delay_2|low_<0.70|mid_0.90_1.10|high_>=0.00055,1.7314010604905987,1.7074300661490334,1.2006580243576168,1.0568139932948795
52,150052,success,True,False,False,27,166.3276566584939,0.0042285645159129285,0.008138548958505187,1.164885822163863,0.00019877121117098284,2,0.7112580433087087,high_>1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|high_>1.10|low_<0.00025,1.6716321721185434,1.7320507688545248,1.441572105708814,1.342774551799978
53,150053,success,True,False,False,27,170.67642560479055,0.004949376588925601,0.007811920221928004,0.9339758279499326,0.0003845915833957953,0,0.6389690626246979,mid_0.90_1.10,mid_0.00025_0.00055,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|mid_0.00025_0.00055,1.6732467159740922,1.592964442156878,1.2892896229367687,1.1286237981001372
54,150054,success,True,False,False,26,169.12939050442628,0.004072370661169347,0.008008759869072457,0.8834679404956065,0.0005721103621958979,1,0.7484827744704862,low_<0.90,high_>=0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.6071183824552153,1.5316829347612675,1.4788327460657082,1.222560278463702
55,150055,success,True,False,False,11,143.23657846878152,0.002708197770387838,0.007970250689097291,1.1674783189130462,0.0006226400486637029,0,0.9868856713751336,high_>1.10,high_>=0.00055,delay_0,high_>=0.85,delay_0|high_>=0.85|high_>1.10|high_>=0.00055,1.5447847856574453,1.7158638113494846,1.3795669449386068,1.4737816670046096
56,150056,success,True,False,False,19,153.8660106963828,0.0035511196564942523,0.007982916864841316,0.9953424960343544,0.0005815217638388961,1,0.8214765415167241,mid_0.90_1.10,high_>=0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|high_>=0.00055,1.65843132502538,1.6538540982316237,1.4303113990884193,1.338300706520949
57,150057,collision,False,True,False,11,-299.3216938314379,0.03844469442856985,0.0054696678514003505,1.071416242272027,2.666677208884636e-05,2,0.9137069999702191,mid_0.90_1.10,low_<0.00025,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|low_<0.00025,1.7024579862757394,1.4715478704989016,1.3899147108648655,1.1056301030415645
58,150058,success,True,False,False,12,145.58547711863363,0.003267915569856744,0.007969298680985726,0.9475822360142219,1.3567067810206446e-05,0,0.8254779570043613,mid_0.90_1.10,low_<0.00025,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7168785874918624,1.6132252715855007,1.4388843048213362,1.3087214076832072
59,150059,success,True,False,False,23,156.36465300337287,0.004726342509231359,0.00809822675339189,0.9944750054359327,0.0005441148645485733,2,0.8668458487090853,mid_0.90_1.10,mid_0.00025_0.00055,delay_2,high_>=0.85,delay_2|high_>=0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.7201610561205045,1.7189388664814165,1.5082244252362995,1.3182892023211616
60,150060,success,True,False,False,21,162.48525191813164,0.0018081073287365126,0.008271065765240504,1.0886056998195328,0.0004087408808167453,1,0.8370993813494189,mid_0.90_1.10,mid_0.00025_0.00055,delay_1,mid_0.70_0.85,delay_1|mid_0.70_0.85|mid_0.90_1.10|mid_0.00025_0.00055,1.6853268872239613,1.7320507688545248,1.5148520766309432,1.4580511083294811
61,150061,success,True,False,False,38,144.1559224788082,0.004977848082721147,0.0078029611798626775,0.8014163450331846,8.861340645866581e-05,0,0.9939519503122162,low_<0.90,low_<0.00025,delay_0,high_>=0.85,delay_0|high_>=0.85|low_<0.90|low_<0.00025,1.3490191885582241,1.100972176029827,0.6941823641329528,0.5542213139534731
62,150062,success,True,False,False,22,153.65663627191688,0.004746157041916321,0.008009782910013752,1.0882610444275125,0.000221512414343601,2,0.7355121268820515,mid_0.90_1.10,low_<0.00025,delay_2,mid_0.70_0.85,delay_2|mid_0.70_0.85|mid_0.90_1.10|low_<0.00025,1.7165393993414095,1.7320507688545248,1.5652965897255013,1.405078208446334
63,150063,success,True,False,False,24,163.62757898684495,0.004855707689055281,0.0077604351974410735,0.9903516094654021,0.00018183006970984357,0,0.5861103440536328,mid_0.90_1.10,low_<0.00025,delay_0,low_<0.70,delay_0|low_<0.70|mid_0.90_1.10|low_<0.00025,1.4850692660028875,1.3573222926628652,1.1632362003567815,1.0428264368883942
64,150064,success,True,False,False,28,165.13774411151715,0.0034990927847576223,0.007941993756194754,1.1723018367918647,0.00025349308974907355,1,0.6839430137162352,high_>1.10,mid_0.00025_0.00055,delay_1,low_<0.70,delay_1|low_<0.70|high_>1.10|mid_0.00025_0.00055,1.6937635755506968,1.7320507688545248,1.3600475623360653,1.3609344898988192
65,150065,success,True,False,False,17,148.27185134093895,0.004779181204823586,0.007897200820565997,0.8724967955786669,0.0006730420543590267,0,0.7044640637180284,low_<0.90,high_>=0.00055,delay_0,mid_0.70_0.85,delay_0|mid_0.70_0.85|low_<0.90|high_>=0.00055,1.4811854265084978,1.3922949507903921,1.3260194980393454,1.0497197972347785
